#{"t_start": 1738319537.8338854, "env_id": null}
r,l,t
-15762.2,8000,1913.13764
4562256.8,8000,1918.151315
-7390.0,8000,1925.427045
4044322.0,8000,1930.420514
4198829.8,8000,1935.414782
4325796.8,8000,1940.412139
3278628.8,8000,1945.399575
3766557.0,8000,1952.652042
3908100.0,8000,1957.651218
4277253.8,8000,1962.656142
4250864.2,8000,1967.673227
3289843.0,8000,1972.688853
4190132.4,8000,1979.968683
3844909.2,8000,1984.980664
4329476.8,8000,1989.988895
3925565.6,8000,1994.992563
-16272.0,8000,2000.029331
3005765.0,8000,2007.208377
3070998.8,8000,2012.209639
3861701.2,8000,2017.227763
-16042.4,8000,2022.275461
3944664.0,8000,2027.287118
3374119.8,8000,2034.463876
-9089.6,8000,2039.501743
3003365.6,8000,2044.495727
2796043.6,8000,2049.485032
2923128.8,8000,2054.475274
-15973.8,8000,2062.017897
-15623.0,8000,2067.067102
-12646.2,8000,2072.109165
41.0,8000,2077.140147
-2537.4,8000,2082.183594
-7093.4,8000,2089.338864
-16105.6,8000,2094.377716
1775533.6,8000,2099.366487
-16178.6,8000,2104.401867
1966845.2,8000,2109.38443
1592135.0,8000,2116.559109
1585811.4,8000,2121.561522
1648586.6,8000,2126.564255
1318407.2,8000,2131.568547
1523347.4,8000,2136.567612
1569286.2,8000,2143.771594
1317222.2,8000,2148.773911
-11424.8,8000,2153.817982
1772770.0,8000,2158.81426
-10173.6,8000,2163.856888
-13968.0,8000,2171.372241
-9998.2,8000,2176.418325
-15944.8,8000,2181.48122
-15317.6,8000,2186.533156
-15801.4,8000,2191.582582
1474178.0,8000,2198.884809
-16882.4,8000,2203.955074
-16773.0,8000,2209.034431
1703202.0,8000,2214.056178
-16473.4,8000,2219.122218
1339144.2,8000,2226.304873
1900.4,8000,2231.336169
1377264.2,8000,2236.335266
1419929.8,8000,2241.336502
1540455.6,8000,2246.33164
1347725.6,8000,2253.513419
852267.4,8000,2258.52851
1763474.2,8000,2263.537403
1373749.6,8000,2268.53981
1426724.4,8000,2273.558512
1007912.2,8000,2281.138192
623052.4,8000,2286.153295
598785.2,8000,2291.16258
575509.2,8000,2296.17799
630104.6,8000,2301.187395
942299.2,8000,2308.714202
411867.0,8000,2313.687225
661475.6,8000,2318.66445
708760.8,8000,2323.636514
534118.8,8000,2328.605642
518104.0,8000,2334.659917
385418.4,8000,2339.669309
972381.4,8000,2344.655736
562232.6,8000,2349.639702
592133.4,8000,2354.62403
602025.0,8000,2362.178095
982432.6,8000,2367.169154
655273.0,8000,2372.159094
830528.6,8000,2377.15135
983719.0,8000,2382.137207
748752.0,8000,2389.351367
682000.4,8000,2394.349667
984639.8,8000,2399.342405
902207.6,8000,2404.339463
950134.0,8000,2409.330576
926044.6,8000,2416.488766
1002403.0,8000,2421.479321
877184.0,8000,2426.463206
727909.2,8000,2431.442572
601981.8,8000,2436.419387
1263572.2,8000,2443.659212
1355611.2,8000,2448.700362
817188.4,8000,2453.735774
2030109.0,8000,2458.775154
1512194.8,8000,2463.803572
1500547.0,8000,2471.055259
398254.0,8000,2476.099199
1759262.2,8000,2481.15555
1211682.4,8000,2486.202484
1350222.0,8000,2491.249255
2015814.6,8000,2498.489766
-7859.0,8000,2503.575522
1693847.2,8000,2508.61819
1503994.6,8000,2513.659847
1429437.2,8000,2518.699139
1519930.2,8000,2525.884739
-9436.6,8000,2530.927105
1687167.0,8000,2535.936709
1293189.6,8000,2540.932017
-9874.4,8000,2545.966024
2001149.4,8000,2553.195311
1574437.4,8000,2558.241097
1412638.8,8000,2563.301359
-15713.6,8000,2568.396526
-15599.0,8000,2573.490806
-15701.8,8000,2580.775321
1696531.6,8000,2585.806516
-15828.4,8000,2590.878024
-11332.0,8000,2595.946625
1820760.2,8000,2600.971054
-7543.0,8000,2608.249008
1800367.4,8000,2613.290639
-13832.0,8000,2618.384786
1324614.2,8000,2623.443018
1461978.6,8000,2628.503781
-16361.6,8000,2635.786978
-16744.2,8000,2640.852166
-9779.4,8000,2645.907374
-16137.0,8000,2650.96929
-15917.8,8000,2656.03515
